type,price,pnl,capital,timestamp
SELL,1011.2999877929688,0.0,100000.0,2026-01-06 17:52:40.819661
CLOSE,1013.0,-1.70001220703125,99998.29998779297,2026-01-06 17:52:40.821604
SELL,1011.7000122070312,0.0,99998.29998779297,2026-01-06 17:52:40.821915
CLOSE,1014.0999755859375,-2.39996337890625,99995.90002441406,2026-01-06 17:52:40.821985
SELL,1012.7000122070312,0.0,99995.90002441406,2026-01-06 17:52:40.822766
CLOSE,1012.2000122070312,0.5,99996.40002441406,2026-01-06 17:52:40.823367
SELL,1012.2000122070312,0.0,99996.40002441406,2026-01-06 17:52:40.823388
CLOSE,1012.1500244140625,0.04998779296875,99996.45001220703,2026-01-06 17:52:40.823576
SELL,1012.1500244140625,0.0,99996.45001220703,2026-01-06 17:52:40.823595
CLOSE,1013.4500122070312,-1.29998779296875,99995.15002441406,2026-01-06 17:52:40.823663
SELL,1010.7000122070312,0.0,99995.15002441406,2026-01-06 17:52:40.824634
CLOSE,1011.75,-1.04998779296875,99994.1000366211,2026-01-06 17:52:40.826090
SELL,1011.4000244140625,0.0,99994.1000366211,2026-01-06 17:52:40.826666
CLOSE,1010.9500122070312,0.45001220703125,99994.55004882812,2026-01-06 17:52:40.826794
SELL,1010.9500122070312,0.0,99994.55004882812,2026-01-06 17:52:40.826812
CLOSE,1012.0,-1.04998779296875,99993.50006103516,2026-01-06 17:52:40.827144
SELL,1011.5499877929688,0.0,99993.50006103516,2026-01-06 17:52:40.827327
CLOSE,1012.7000122070312,-1.1500244140625,99992.3500366211,2026-01-06 17:52:40.827409
SELL,1012.0999755859375,0.0,99992.3500366211,2026-01-06 17:52:40.827549
CLOSE,1011.75,0.3499755859375,99992.70001220703,2026-01-06 17:52:40.827741
SELL,1011.75,0.0,99992.70001220703,2026-01-06 17:52:40.827757
CLOSE,1010.0,1.75,99994.45001220703,2026-01-06 17:52:40.829800
SELL,1010.0,0.0,99994.45001220703,2026-01-06 17:52:40.829824
CLOSE,1009.5999755859375,0.4000244140625,99994.8500366211,2026-01-06 17:52:40.830703
SELL,1009.5999755859375,0.0,99994.8500366211,2026-01-06 17:52:40.830724
CLOSE,1004.8499755859375,4.75,99999.6000366211,2026-01-06 17:52:40.832348
SELL,1004.8499755859375,0.0,99999.6000366211,2026-01-06 17:52:40.832372
CLOSE,1004.5499877929688,0.29998779296875,99999.90002441406,2026-01-06 17:52:40.832620
SELL,1004.5499877929688,0.0,99999.90002441406,2026-01-06 17:52:40.832640
CLOSE,1004.5999755859375,-0.04998779296875,99999.8500366211,2026-01-06 17:52:40.832922
SELL,1004.5999755859375,0.0,99999.8500366211,2026-01-06 17:52:40.832940
CLOSE,1002.9000244140625,1.699951171875,100001.54998779297,2026-01-06 17:52:40.833266
SELL,1002.9000244140625,0.0,100001.54998779297,2026-01-06 17:52:40.833287
CLOSE,1004.8499755859375,-1.949951171875,99999.6000366211,2026-01-06 17:52:40.835732
SELL,1005.4500122070312,0.0,99999.6000366211,2026-01-06 17:52:40.836107
CLOSE,1006.5499877929688,-1.0999755859375,99998.50006103516,2026-01-06 17:52:40.837028
SELL,1006.0999755859375,0.0,99998.50006103516,2026-01-06 17:52:40.838505
CLOSE,1004.3499755859375,1.75,100000.25006103516,2026-01-06 17:52:40.839019
SELL,1004.3499755859375,0.0,100000.25006103516,2026-01-06 17:52:40.839039
